  insmod-12410   0d...  6164.583189: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583190: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583191: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583193: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583194: funcgraph_exit:         4.167 us   |                                                  }
  insmod-12410   0d...  6164.583195: funcgraph_exit:         6.093 us   |                                                }
  insmod-12410   0d...  6164.583196: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583199: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583200: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583201: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583203: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583205: funcgraph_exit:         4.167 us   |                                                  }
  insmod-12410   0d...  6164.583206: funcgraph_exit:         6.041 us   |                                                }
  insmod-12410   0d...  6164.583207: funcgraph_entry:        0.260 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583209: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583210: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583211: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583213: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583215: funcgraph_exit:         4.166 us   |                                                  }
  insmod-12410   0d...  6164.583216: funcgraph_exit:         5.938 us   |                                                }
  insmod-12410   0d...  6164.583217: funcgraph_entry:        0.417 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583219: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583220: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583221: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583223: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583225: funcgraph_exit:         4.114 us   |                                                  }
  insmod-12410   0d...  6164.583226: funcgraph_exit:         5.990 us   |                                                }
  insmod-12410   0d...  6164.583227: funcgraph_entry:        0.261 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583228: funcgraph_exit:       + 81.198 us  |                                              }
  insmod-12410   0d...  6164.583229: funcgraph_entry:        0.260 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583231: funcgraph_exit:       + 84.948 us  |                                            }
  insmod-12410   0d...  6164.583232: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583233: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583234: funcgraph_entry:        0.260 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583236: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583237: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583239: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583240: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583242: funcgraph_exit:         4.010 us   |                                                  }
  insmod-12410   0d...  6164.583243: funcgraph_exit:         6.042 us   |                                                }
  insmod-12410   0d...  6164.583244: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583246: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583247: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583248: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583250: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583252: funcgraph_exit:         4.011 us   |                                                  }
  insmod-12410   0d...  6164.583253: funcgraph_exit:         5.989 us   |                                                }
  insmod-12410   0d...  6164.583254: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583256: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583257: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583258: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583260: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583262: funcgraph_exit:         4.062 us   |                                                  }
  insmod-12410   0d...  6164.583263: funcgraph_exit:         5.886 us   |                                                }
  insmod-12410   0d...  6164.583263: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583265: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583266: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583267: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583270: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583272: funcgraph_exit:         4.271 us   |                                                  }
  insmod-12410   0d...  6164.583272: funcgraph_exit:         6.198 us   |                                                }
  insmod-12410   0d...  6164.583273: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583275: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583277: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583278: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583280: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583281: funcgraph_exit:         4.011 us   |                                                  }
  insmod-12410   0d...  6164.583282: funcgraph_exit:         5.833 us   |                                                }
  insmod-12410   0d...  6164.583283: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583285: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583286: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583287: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583289: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583291: funcgraph_exit:         4.323 us   |                                                  }
  insmod-12410   0d...  6164.583292: funcgraph_exit:         6.302 us   |                                                }
  insmod-12410   0d...  6164.583293: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583295: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583296: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583297: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583299: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583301: funcgraph_exit:         4.218 us   |                                                  }
  insmod-12410   0d...  6164.583302: funcgraph_exit:         5.990 us   |                                                }
  insmod-12410   0d...  6164.583303: funcgraph_entry:        0.261 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583305: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583306: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583307: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583309: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583311: funcgraph_exit:         4.219 us   |                                                  }
  insmod-12410   0d...  6164.583312: funcgraph_exit:         6.041 us   |                                                }
  insmod-12410   0d...  6164.583313: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583315: funcgraph_exit:       + 80.417 us  |                                              }
  insmod-12410   0d...  6164.583315: funcgraph_entry:        0.208 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583317: funcgraph_exit:       + 84.428 us  |                                            }
  insmod-12410   0d...  6164.583318: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583319: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583320: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583322: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583323: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583324: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583326: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583328: funcgraph_exit:         4.271 us   |                                                  }
  insmod-12410   0d...  6164.583329: funcgraph_exit:         6.250 us   |                                                }
  insmod-12410   0d...  6164.583330: funcgraph_entry:        0.261 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583333: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583334: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583335: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583337: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583339: funcgraph_exit:         4.115 us   |                                                  }
  insmod-12410   0d...  6164.583340: funcgraph_exit:         6.094 us   |                                                }
  insmod-12410   0d...  6164.583341: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583343: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583344: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583345: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583347: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583349: funcgraph_exit:         4.219 us   |                                                  }
  insmod-12410   0d...  6164.583350: funcgraph_exit:         6.042 us   |                                                }
  insmod-12410   0d...  6164.583351: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583353: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583354: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583355: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583357: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583359: funcgraph_exit:         4.167 us   |                                                  }
  insmod-12410   0d...  6164.583360: funcgraph_exit:         6.094 us   |                                                }
  insmod-12410   0d...  6164.583360: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583362: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583363: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583364: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583366: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583368: funcgraph_exit:         4.219 us   |                                                  }
  insmod-12410   0d...  6164.583369: funcgraph_exit:         6.146 us   |                                                }
  insmod-12410   0d...  6164.583370: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583372: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583373: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583374: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583376: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583378: funcgraph_exit:         4.167 us   |                                                  }
  insmod-12410   0d...  6164.583379: funcgraph_exit:         6.093 us   |                                                }
  insmod-12410   0d...  6164.583380: funcgraph_entry:        0.260 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583382: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583383: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583384: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583386: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583388: funcgraph_exit:         4.271 us   |                                                  }
  insmod-12410   0d...  6164.583389: funcgraph_exit:         6.094 us   |                                                }
  insmod-12410   0d...  6164.583390: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583392: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583393: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583394: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583396: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583398: funcgraph_exit:         3.958 us   |                                                  }
  insmod-12410   0d...  6164.583399: funcgraph_exit:         5.886 us   |                                                }
  insmod-12410   0d...  6164.583400: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583402: funcgraph_exit:       + 81.458 us  |                                              }
  insmod-12410   0d...  6164.583403: funcgraph_entry:        0.209 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583405: funcgraph_exit:       + 85.573 us  |                                            }
  insmod-12410   0d...  6164.583406: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583407: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583408: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583410: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583411: funcgraph_entry:                   |                                                  __timer_delay() {
